COUNTRY,WEEK_START,EVENTS,TOTAL_MENTIONS,TOTAL_ARTICLES,AVG_TONE,AVG_GOLDSTEIN,LAT_CENTROID,LONG_CENTROID
NG,2023-04-24,131,767,767,-3.4874331606444109,-5.7977099236641223,15.709642748091603,7.23563610687023
NG,2023-05-01,155,903,903,-4.4266117742998983,-6.4793548387096775,15.725078064516131,7.2275382580645164
NG,2023-05-08,194,1108,1090,-4.224536933584214,-6.1814432989690724,15.748731958762887,6.467729690721649
NG,2023-05-15,114,634,624,-3.6884814451723491,-6.594736842105263,15.21793245614035,7.0988027105263161
NG,2023-05-22,183,861,858,-2.1480551777474166,-5.3885245901639349,15.710168306010928,7.171995136612022
NG,2023-05-29,101,567,567,-2.4205438950037417,-5.703960396039605,15.359256435643562,7.083569999999999
NG,2023-06-05,161,828,823,-3.7332202217695607,-7.0645962732919276,15.613888819875779,7.5587930434782606
NG,2023-06-12,225,1203,1196,-5.1429324399422915,-6.7924444444444445,15.474007555555556,6.7245949333333339
NG,2023-06-19,217,949,932,-5.3324921692389173,-6.3331797235023037,15.726371428571431,7.4589428110599094
NG,2023-06-26,112,551,551,-3.205299963790663,-5.2660714285714292,15.484206249999998,7.1438132142857134
NG,2023-07-03,108,651,651,-3.6050636134781682,-6.0351851851851857,15.422101851851853,6.5724564814814821
NG,2023-07-10,268,1496,1486,-4.9418127644068672,-5.5951492537313428,14.83478208955224,5.1842551156716414
NG,2023-07-17,183,1006,994,-3.7092909090594057,-6.0661202185792353,15.075175409836064,5.7776213661202194
NG,2023-07-24,3444,20589,20344,-2.9830819959320518,-5.152758420441347,14.598931707317075,4.775890272938442
NG,2023-07-31,6887,37181,36721,-3.6599121255010383,-5.296703934949905,14.64088980688253,4.7803574511398281
NG,2023-08-07,6279,34687,34389,-3.6414904054673594,-5.2395604395604387,14.764783134257046,5.1332105128205123
NG,2023-08-14,4351,25756,25514,-4.4506140820998867,-5.796805332107561,14.763586830613651,5.0049144293265924
NG,2023-08-21,2845,16057,15908,-3.322848380589,-5.6112478031634438,14.915232934973638,5.348554904042178
NG,2023-08-28,2147,11833,11755,-2.9162397191048983,-5.2621797857475547,14.859870470423846,5.271401294829996
NG,2023-09-04,1107,6468,6371,-3.3500587903688772,-5.338030713640471,15.023820867208672,5.6070482077687451
NG,2023-09-11,976,5554,5502,-2.9629758133271173,-5.5869877049180339,14.974794774590162,5.6855372971311473
NG,2023-09-18,764,4988,4906,-3.0662743285173848,-5.0883507853403147,15.153230104712042,6.0020687198952887
NG,2023-09-25,1147,6769,6692,-3.55279797674651,-5.8976460331299023,14.706018482999127,4.5835356634699211
NG,2023-10-02,685,4142,4089,-5.0386267584975695,-6.4439416058394174,14.780948175182484,4.8290924846715333
NG,2023-10-09,619,3542,3511,-4.0352790831104732,-5.7838449111470114,14.881136833602584,5.3355708077544426
NG,2023-10-16,376,2158,2142,-4.5483310897902545,-5.7699468085106389,14.798971010638295,5.1513205265957449
NG,2023-10-23,444,2467,2433,-4.3824850052942441,-5.7981981981981985,14.986965540540538,5.5768976576576579
NG,2023-10-30,275,1690,1668,-3.3309825151319217,-5.2254545454545447,15.189282181818184,6.6540758618181819
NG,2023-11-06,202,1219,1217,-4.8030063732176718,-6.7985148514851481,15.393008415841585,7.2213499257425759
NG,2023-11-13,141,894,868,-4.8305967355864032,-6.6971631205673754,15.457222695035462,7.1337702127659561
NG,2023-11-20,225,1483,1441,-4.42444419818632,-5.8595555555555565,15.069518222222221,6.5249786666666658
NG,2023-11-27,278,1757,1749,-4.3679292049261962,-5.9291366906474821,15.412448920863309,6.957434100719424
NG,2023-12-04,429,2973,2914,-4.3039137760732293,-5.5662004662004669,15.122336130536128,6.0242567412587409
NG,2023-12-11,422,2547,2519,-4.1668648776374031,-5.8149289099526058,15.288230094786732,6.5143887203791468
NG,2023-12-18,368,2283,2248,-3.140728226869582,-5.2747282608695647,15.067997010869563,5.9530824293478268
NG,2023-12-25,336,2007,1970,-3.5866759140141271,-6.0913690476190467,15.287192857142855,6.6534219345238084
NI,2014-12-29,44,245,245,-4.1842069328858322,-7.5136363636363637,10.366004772727273,9.6475075
NI,2015-01-05,102,439,428,-4.6258764060195512,-6.2627450980392165,9.44223225490196,7.850628333333332
